YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 11 00 999 99.0 99.0  3.50 10.00  6.77 999  980.6    .7   2.7 999.0 99.0
1999 01 11 01 999 99.0 99.0  3.54 10.00  6.82 999  979.7    .8   2.7 999.0 99.0
1999 01 11 02 999 99.0 99.0  3.63 10.00  7.05 999  979.2    .8   2.7 999.0 99.0
1999 01 11 03 999 99.0 99.0  3.43  9.09  6.76 999  978.7    .9   2.7 999.0 99.0
1999 01 11 04 999 99.0 99.0  3.31 10.00  6.75 999  978.2   -.3   2.7 999.0 99.0
1999 01 11 05 999 99.0 99.0  3.51  9.09  6.88 999  977.8   -.3   2.7 999.0 99.0
1999 01 11 06 999 99.0 99.0  3.94 10.00  7.11 999  977.2    .5   2.7 999.0 99.0
1999 01 11 07 999 99.0 99.0  4.16 10.00  7.04 999  977.1   -.1   2.7 999.0 99.0
1999 01 11 08 999 99.0 99.0  4.86 10.00  7.29 999  976.5   -.1   2.7 999.0 99.0
1999 01 11 09 999 99.0 99.0 99.00 99.00 99.00 999  975.9    .0   2.7 999.0 99.0
1999 01 11 10 999 99.0 99.0  5.06 10.00  7.43 999  975.5   -.2   2.8 999.0 99.0
1999 01 11 11 999 99.0 99.0  5.15 10.00  7.65 999  975.5   -.4   2.9 999.0 99.0
1999 01 11 12 999 99.0 99.0  6.59 10.00  8.47 999  975.1   -.4   3.0 999.0 99.0
