YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 09 23 00 125 11.0 12.7  2.63  7.69  6.18 999 1019.3   3.4   2.9   3.2 99.0 99.00
2005 01 10 00 00 121  9.7 11.5  2.72  8.33  6.52 999 1018.9   3.4   2.9   3.2 99.0 99.00
2005 01 10 01 00 121  9.3 11.0  2.79  8.33  6.54 999 1018.4   3.4   2.9   3.3 99.0 99.00
2005 01 10 02 00 121  8.3  9.2  2.49  9.09  6.40 999 1018.2   3.4   2.9   3.3 99.0 99.00
2005 01 10 03 00 118  8.0  9.4  2.64  9.09  6.59 999 1018.2   3.3   2.9   3.2 99.0 99.00
2005 01 10 04 00 115  7.9  9.2  2.20  8.33  6.20 999 1017.9   3.3   2.9   3.2 99.0 99.00
2005 01 10 05 00 106  8.6  9.9  2.18  7.69  6.21 999 1017.7   3.3   2.9   3.2 99.0 99.00
2005 01 10 06 00 108  8.7 10.1  2.31  8.33  6.18 999 1017.8   3.3   2.9   3.2 99.0 99.00
2005 01 10 07 00 111  9.1 10.6  2.40  7.69  6.05 999 1017.7   3.3   2.9   3.2 99.0 99.00
2005 01 10 08 00 114  7.7  8.9  2.08  7.14  5.70 999 1017.6   3.3   2.9   3.2 99.0 99.00
2005 01 10 09 00 113  7.9 10.3  2.16  7.69  5.84 999 1017.4   3.3   2.9   3.2 99.0 99.00
2005 01 10 10 00 117  7.8  9.7  2.16  7.69  6.05 999 1017.3   3.3   2.9   3.2 99.0 99.00
